date_in_db,method_in_db,method_in_table,date_start_table,date_end_table
2013-07-09,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-07-10,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-07-11,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-07-12,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-07-13,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-07-14,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-07-15,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-07-16,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-07-17,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-07-18,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-07-19,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-07-20,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-07-21,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-07-22,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-07-23,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-07-24,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-07-25,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-07-26,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-07-27,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-07-28,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-07-29,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-07-30,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-07-31,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-08-01,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-08-02,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-08-03,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-08-04,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-08-05,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-08-06,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-08-07,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-08-08,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-08-09,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-08-10,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-08-11,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-08-12,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-08-13,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-08-14,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-08-15,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-08-16,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-08-17,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-08-18,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-08-19,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-08-20,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-08-21,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-08-22,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-08-23,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-08-24,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-08-25,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-08-26,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-08-27,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-08-28,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-08-29,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-08-30,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-08-31,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-09-01,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-09-02,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-09-03,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-09-04,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-09-05,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-09-06,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-09-07,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-09-08,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-09-09,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-09-10,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-09-11,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-09-12,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-09-13,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-09-14,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-09-15,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-09-16,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-09-17,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-09-18,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-09-19,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-09-20,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-09-21,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-09-22,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-09-23,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-09-24,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-09-25,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-09-26,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-09-27,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-09-28,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-09-29,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-09-30,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-10-01,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-10-02,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-10-03,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-10-04,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-10-05,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-10-06,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-10-07,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-10-08,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-10-09,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-10-10,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-10-11,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-10-12,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-10-13,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
2013-10-14,RAD014,RAD114,RADPRI02,2013-04-17 00:00:00,2050-12-31 00:00:00
